ym,regime,family,equity_multiple,max_drawdown_pct,trades,win_rate_pct,avg_trade_ret_pct,bh_month_mult,cum_strat_mult,cum_bh_mult,FEE_BPS,SLIP_BPS,VOL_MIN,TREND_SPLIT,MIN_BARS,W,DON_HI,DON_LO,mode,EMA_FAST,EMA_SLOW,RSI_N,RSI_BUY_MAX,RSI_SELL_MIN,BB_PERIOD,BB_K
2021-02,trend,DON,1.0,0.0,0,0.0,0.0,3.135393460294646,1.0,3.135393460294646,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2021-03,trend,DON,1.0,0.0,0,0.0,0.0,1.4702478461351776,1.0,4.609805481784525,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2021-04,trend,EMA_X,0.8371220554625152,31.454430179705085,57,38.59649122807018,-0.20431083036275277,2.2079450103724807,0.8371220554625152,10.17819701229385,5.0,5.0,0.004,0.15,900,6,,,EMA_X,8.0,34.0,,,,,
2021-05,trend,EMA_X,0.8126185731619668,28.150334104250753,52,30.76923076923077,-0.24140088633282097,0.7727337077061017,0.6802609302723619,7.865035915072994,5.0,5.0,0.004,0.15,900,6,,,EMA_X,10.0,34.0,,,,,
2021-06,trend,EMA_X,1.3179249813998803,18.81788015675404,41,41.46341463414634,0.7974793841613925,1.0888296078251003,0.8965328738762679,8.563683970939257,5.0,5.0,0.004,0.15,900,6,,,EMA_X,10.0,34.0,,,,,
2021-08,range,RSI_MR,1.139289924063309,0.0,4,100.0,3.330176343637481,3.024132730015083,1.0214108697987534,25.897716986022942,5.0,5.0,0.004,0.15,900,6,,,RSI_MR,,,14.0,25.0,50.0,,
2021-09,trend,EMA_X,1.2493491110546002,24.617385810915906,46,30.434782608695652,0.6729322648714842,1.306561922365989,1.2760987622045785,33.836970890148464,5.0,5.0,0.004,0.15,900,6,,,EMA_X,10.0,34.0,,,,,
2021-10,trend,EMA_X,0.9754224631382529,25.215834594339427,58,20.689655172413794,0.020362910938209744,1.4294084427502471,1.2447353978372655,48.36685186747256,5.0,5.0,0.004,0.15,900,6,,,EMA_X,10.0,34.0,,,,,
2021-11,trend,EMA_X,0.9454645369631975,15.604933687091238,45,33.333333333333336,-0.09455192001412982,1.0141030005349414,1.1768531765579118,49.04896960523296,5.0,5.0,0.004,0.15,900,6,,,EMA_X,12.0,34.0,,,,,
2021-12,range,BB_MR,0.9467331861122444,21.614461077963497,58,60.3448275862069,-0.07620101286127667,0.8081293082956977,1.1141659574289875,39.637909879693616,5.0,5.0,0.004,0.15,900,6,,,BB_MR,,,,,,20.0,2.0
2022-01,trend,EMA_X,0.7064141252616762,30.924388282158542,52,36.53846153846154,-0.6480880865109118,0.5823236757389523,0.7870625702135362,23.082093379752518,5.0,5.0,0.004,0.15,900,6,,,EMA_X,10.0,34.0,,,,,
2022-02,trend,DON,1.0,0.0,0,0.0,0.0,0.9958041958041959,0.7870625702135362,22.98524543550181,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2022-03,range,BB_MR,0.9872944231770069,5.400115004042538,19,47.36842105263158,-0.060923570815196726,1.2212274942803143,0.7770624862631857,28.070213688615908,5.0,5.0,0.004,0.15,900,6,,,BB_MR,,,,,,20.0,2.8
2022-04,trend,DON,1.0,0.0,0,0.0,0.0,0.6806337461798294,0.7770624862631857,19.105534698950972,5.0,5.0,0.004,0.15,900,6,20.0,10.0,DON,,,,,,,
2022-05,trend,BB_MOMO,0.9129613961553509,13.790790541383712,27,40.74074074074074,-0.31111119513619334,0.5387241054613937,0.7094280523587863,10.29261209005398,5.0,5.0,0.004,0.15,900,6,,,BB_MOMO,,,,,,20.0,2.4
