ym,pick,equity_multiple,win_rate_pct,trades,max_drawdown_pct,avg_trade_ret_pct,bh_month_mult,BB_PERIOD,BB_K,EMA_FAST_N,EMA_SLOW_N,VOL_Q_MIN,TREND_Q_MR,TREND_Q_MOM,MIN_BARS,W_TRAIN
2021-09,EMA,1.0,0.0,0.0,0.0,0.0,1.306561922365989,16,2.4,10,40,0.3,0.35,0.7,900,12
2021-10,BH,1.4294084427502471,0.0,0.0,0.0,0.0,1.4294084427502471,16,2.4,10,40,0.3,0.35,0.7,900,12
2021-11,BH,1.0141030005349414,0.0,0.0,0.0,0.0,1.0141030005349414,16,2.4,10,40,0.3,0.35,0.7,900,12
2021-12,BH,0.8081293082956977,0.0,0.0,0.0,0.0,0.8081293082956977,16,2.4,10,40,0.3,0.35,0.7,900,12
2022-01,BH,0.5823236757389523,0.0,0.0,0.0,0.0,0.5823236757389523,16,2.4,10,40,0.3,0.35,0.7,900,12
2022-02,BH,0.9958041958041959,0.0,0.0,0.0,0.0,0.9958041958041959,16,2.4,10,40,0.3,0.35,0.7,900,12
2022-03,BB,1.047514,57.89,38.0,9.9,0.1338,1.2212274942803143,16,2.4,10,40,0.3,0.35,0.7,900,12
2022-04,BH,0.6806337461798294,0.0,0.0,0.0,0.0,0.6806337461798294,16,2.4,10,40,0.3,0.35,0.7,900,12
2022-05,BH,0.5387241054613937,0.0,0.0,0.0,0.0,0.5387241054613937,16,2.4,10,40,0.3,0.35,0.7,900,12
2022-06,EMA,1.0,0.0,0.0,0.0,0.0,0.7410008779631254,16,2.4,10,40,0.3,0.35,0.7,900,12
2022-07,BH,1.2592922985429675,0.0,0.0,0.0,0.0,1.2592922985429675,16,2.4,10,40,0.3,0.35,0.7,900,12
2022-08,BH,0.7422243166823752,0.0,0.0,0.0,0.0,0.7422243166823752,16,2.4,10,40,0.3,0.35,0.7,900,12
2022-09,BH,1.0485651214128036,0.0,0.0,0.0,0.0,1.0485651214128036,16,2.4,10,40,0.3,0.35,0.7,900,12
2022-10,BH,0.983388704318937,0.0,0.0,0.0,0.0,0.983388704318937,16,2.4,10,40,0.3,0.35,0.7,900,12
2022-11,BH,0.4336906584992343,0.0,0.0,0.0,0.0,0.4336906584992343,16,2.4,10,40,0.3,0.35,0.7,900,12
2022-12,EMA,1.0,0.0,0.0,0.0,0.0,0.7080965909090909,16,2.4,10,40,0.3,0.35,0.7,900,12
2023-01,BH,2.404020100502513,0.0,0.0,0.0,0.0,2.404020100502513,16,2.4,10,40,0.3,0.35,0.7,900,12
2023-02,EMA,1.0,0.0,0.0,0.0,0.0,0.9162829635830891,16,2.4,10,40,0.3,0.35,0.7,900,12
2023-03,BH,0.96709323583181,0.0,0.0,0.0,0.0,0.96709323583181,16,2.4,10,40,0.3,0.35,0.7,900,12
2023-04,BB,0.984529,62.5,40.0,7.03,-0.0316,1.0706214689265536,16,2.4,10,40,0.3,0.35,0.7,900,12
2023-05,BH,0.9127192982456139,0.0,0.0,0.0,0.0,0.9127192982456139,16,2.4,10,40,0.3,0.35,0.7,900,12
2023-06,BH,0.9028243178554332,0.0,0.0,0.0,0.0,0.9028243178554332,16,2.4,10,40,0.3,0.35,0.7,900,12
2023-07,BH,1.2555555555555558,0.0,0.0,0.0,0.0,1.2555555555555558,16,2.4,10,40,0.3,0.35,0.7,900,12
2023-08,BH,0.8315080033698399,0.0,0.0,0.0,0.0,0.8315080033698399,16,2.4,10,40,0.3,0.35,0.7,900,12
2023-09,BH,1.0803842264914054,0.0,0.0,0.0,0.0,1.0803842264914054,16,2.4,10,40,0.3,0.35,0.7,900,12
2023-10,BH,1.7952314165497896,0.0,0.0,0.0,0.0,1.7952314165497896,16,2.4,10,40,0.3,0.35,0.7,900,12
2023-11,EMA,1.0,0.0,0.0,0.0,0.0,1.5531691985332634,16,2.4,10,40,0.3,0.35,0.7,900,12
2023-12,EMA,1.0,0.0,0.0,0.0,0.0,1.72289972899729,16,2.4,10,40,0.3,0.35,0.7,900,12
2024-01,EMA,1.0,0.0,0.0,0.0,0.0,0.9472450175849941,16,2.4,10,40,0.3,0.35,0.7,900,12
2024-02,BB,1.019983,60.61,33.0,4.21,0.0644,1.289025641025641,16,2.4,10,40,0.3,0.35,0.7,900,12
2024-03,BH,1.588590709353421,0.0,0.0,0.0,0.0,1.588590709353421,16,2.4,10,40,0.3,0.35,0.7,900,12
2024-04,EMA,1.0,0.0,0.0,0.0,0.0,0.6284453698195518,16,2.4,10,40,0.3,0.35,0.7,900,12
2024-05,BH,1.3089687870406954,0.0,0.0,0.0,0.0,1.3089687870406954,16,2.4,10,40,0.3,0.35,0.7,900,12
2024-06,BH,0.8826610475617099,0.0,0.0,0.0,0.0,0.8826610475617099,16,2.4,10,40,0.3,0.35,0.7,900,12
2024-07,BH,1.1739249333424489,0.0,0.0,0.0,0.0,1.1739249333424489,16,2.4,10,40,0.3,0.35,0.7,900,12
2024-08,BB,0.802623,48.78,41.0,21.13,-0.4977,0.7858677350055159,16,2.4,10,40,0.3,0.35,0.7,900,12
2024-09,BH,1.1253044055789243,0.0,0.0,0.0,0.0,1.1253044055789243,16,2.4,10,40,0.3,0.35,0.7,900,12
2024-10,BH,1.1060188827694728,0.0,0.0,0.0,0.0,1.1060188827694728,16,2.4,10,40,0.3,0.35,0.7,900,12
2024-11,BH,1.4060003550505946,0.0,0.0,0.0,0.0,1.4060003550505946,16,2.4,10,40,0.3,0.35,0.7,900,12
2024-12,EMA,1.0,0.0,0.0,0.0,0.0,0.7935197216749801,16,2.4,10,40,0.3,0.35,0.7,900,12
2025-01,BH,1.2165765576610152,0.0,0.0,0.0,0.0,1.2165765576610152,16,2.4,10,40,0.3,0.35,0.7,900,12
2025-02,BH,0.6365393702478629,0.0,0.0,0.0,0.0,0.6365393702478629,16,2.4,10,40,0.3,0.35,0.7,900,12
2025-03,EMA,1.0,0.0,0.0,0.0,0.0,0.845026462206541,16,2.4,10,40,0.3,0.35,0.7,900,12
2025-04,BB,0.883279,51.43,35.0,18.57,-0.3352,1.1860128617363344,16,2.4,10,40,0.3,0.35,0.7,900,12
2025-05,BH,1.0558817574407775,0.0,0.0,0.0,0.0,1.0558817574407775,16,2.4,10,40,0.3,0.35,0.7,900,12
2025-06,BH,0.9897071985679582,0.0,0.0,0.0,0.0,0.9897071985679582,16,2.4,10,40,0.3,0.35,0.7,900,12
2025-07,BH,1.1121012527444143,0.0,0.0,0.0,0.0,1.1121012527444143,16,2.4,10,40,0.3,0.35,0.7,900,12
2025-08,BH,1.1735595203275813,0.0,0.0,0.0,0.0,1.1735595203275813,16,2.4,10,40,0.3,0.35,0.7,900,12
2025-09,BH,1.0716428357164283,0.0,0.0,0.0,0.0,1.0716428357164283,16,2.4,10,40,0.3,0.35,0.7,900,12
